model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Moirai,Moirai diff r=4,diff,4,-1,CartPole-v1,1,,0.0011641979217529297,96w@8192
Moirai,Moirai diff r=6,diff,6,-1,CartPole-v1,1,,0.001161813735961914,96w@8192
Moirai,Moirai diff r=8,diff,8,-1,CartPole-v1,1,,0.0011463165283203125,96w@8192
Moirai,Moirai diff r=12,diff,12,-1,CartPole-v1,1,,0.0011565685272216797,96w@8192
Moirai,Moirai diff r=16,diff,16,-1,CartPole-v1,1,,0.0011959075927734375,96w@8192
Moirai,Moirai level r=1,level,1,-1,CartPole-v1,1,,0.0010793209075927734,96w@8192
Moirai,Moirai level r=2,level,2,-1,CartPole-v1,1,,0.0011463165283203125,96w@8192
Moirai,Moirai level r=4,level,4,-1,CartPole-v1,1,,0.001148223876953125,96w@8192
Moirai,Moirai level r=6,level,6,-1,CartPole-v1,1,,0.0011861324310302734,96w@8192
Moirai,Moirai level r=8,level,8,-1,CartPole-v1,1,,0.0011458396911621094,96w@8192
Moirai,Moirai level r=12,level,12,-1,CartPole-v1,1,,0.0011539459228515625,96w@8192
Moirai,Moirai level r=16,level,16,-1,CartPole-v1,1,,0.0011649131774902344,96w@8192
MLP,MLP lag 1,-,0,1,CartPole-v1,1,,0.0030281543731689453,96w@8192
MLP,MLP lag 4,-,0,4,CartPole-v1,1,,0.0027418136596679688,96w@8192
MLP,MLP lag 16,-,0,16,CartPole-v1,1,,0.0026597976684570312,96w@8192
VARX,VARX lag 1,-,0,1,CartPole-v1,1,,0.010132789611816406,96w@8192
VARX,VARX lag 4,-,0,4,CartPole-v1,1,,0.0008611679077148438,96w@8192
VARX,VARX lag 16,-,0,16,CartPole-v1,1,,0.0008571147918701172,96w@8192
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,CartPole-v1,2,2.05739807237564,0.4740478992462158,96w@8192
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,CartPole-v1,2,2.0573104991260394,0.4734220504760742,96w@8192
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,CartPole-v1,2,2.0573096041928034,0.47223997116088867,96w@8192
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,CartPole-v1,2,2.05731310503802,0.4759345054626465,96w@8192
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,CartPole-v1,2,2.0573130505977253,0.47435855865478516,96w@8192
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,CartPole-v1,2,2.0573122225528664,0.47312140464782715,96w@8192
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,CartPole-v1,2,2.0573123343797994,0.4735434055328369,96w@8192
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,CartPole-v1,2,0.9146321963270654,0.4745051860809326,96w@8192
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,CartPole-v1,2,0.9383342079557463,0.4734668731689453,96w@8192
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,CartPole-v1,2,0.9360172887543299,0.4736325740814209,96w@8192
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,CartPole-v1,2,0.9713058904131262,0.47324204444885254,96w@8192
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,CartPole-v1,2,0.9457174161666213,0.47382187843322754,96w@8192
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,CartPole-v1,2,0.9223328325989348,0.4741394519805908,96w@8192
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,CartPole-v1,2,1.5807798003446414,0.5401496887207031,96w@8192
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,CartPole-v1,2,2.0579408457765798,1.5151467323303223,96w@8192
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,CartPole-v1,2,2.0573465135199873,1.5311200618743896,96w@8192
