model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Moirai,Moirai diff r=2,diff,2,-1,Acrobot-v1,1,,0.001554727554321289,96w@4080
Moirai,Moirai diff r=4,diff,4,-1,Acrobot-v1,1,,0.0011858940124511719,96w@4080
Moirai,Moirai diff r=6,diff,6,-1,Acrobot-v1,1,,0.0011420249938964844,96w@4080
Moirai,Moirai diff r=8,diff,8,-1,Acrobot-v1,1,,0.0011594295501708984,96w@4080
Moirai,Moirai diff r=12,diff,12,-1,Acrobot-v1,1,,0.0011425018310546875,96w@4080
Moirai,Moirai diff r=16,diff,16,-1,Acrobot-v1,1,,0.001140594482421875,96w@4080
Moirai,Moirai level r=1,level,1,-1,Acrobot-v1,1,,0.0010399818420410156,96w@4080
Moirai,Moirai level r=2,level,2,-1,Acrobot-v1,1,,0.0011773109436035156,96w@4080
Moirai,Moirai level r=4,level,4,-1,Acrobot-v1,1,,0.0011212825775146484,96w@4080
Moirai,Moirai level r=6,level,6,-1,Acrobot-v1,1,,0.0011360645294189453,96w@4080
Moirai,Moirai level r=8,level,8,-1,Acrobot-v1,1,,0.0011355876922607422,96w@4080
Moirai,Moirai level r=12,level,12,-1,Acrobot-v1,1,,0.0011112689971923828,96w@4080
Moirai,Moirai level r=16,level,16,-1,Acrobot-v1,1,,0.0011210441589355469,96w@4080
MLP,MLP lag 1,-,0,1,Acrobot-v1,1,,0.0029125213623046875,96w@4080
MLP,MLP lag 4,-,0,4,Acrobot-v1,1,,0.002742767333984375,96w@4080
MLP,MLP lag 16,-,0,16,Acrobot-v1,1,,0.002649068832397461,96w@4080
VARX,VARX lag 1,-,0,1,Acrobot-v1,1,,0.010158538818359375,96w@4080
VARX,VARX lag 4,-,0,4,Acrobot-v1,1,,0.0008599758148193359,96w@4080
VARX,VARX lag 16,-,0,16,Acrobot-v1,1,,0.0008840560913085938,96w@4080
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,Acrobot-v1,2,0.8262647053585818,0.6572601795196533,96w@4080
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,Acrobot-v1,2,0.9289391123105563,0.6502883434295654,96w@4080
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,Acrobot-v1,2,0.8265575548450551,0.6518533229827881,96w@4080
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,Acrobot-v1,2,0.7369167761797452,0.6652512550354004,96w@4080
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,Acrobot-v1,2,0.775401868120447,0.6593191623687744,96w@4080
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,Acrobot-v1,2,0.725697695260851,0.6558315753936768,96w@4080
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,Acrobot-v1,2,0.6067996260320512,0.6543898582458496,96w@4080
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,Acrobot-v1,2,1.4296638154749077,0.6557328701019287,96w@4080
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,Acrobot-v1,2,1.3102349455657576,0.6719658374786377,96w@4080
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,Acrobot-v1,2,0.9149978530495799,0.6536893844604492,96w@4080
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,Acrobot-v1,2,0.8931432078702111,0.6544053554534912,96w@4080
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,Acrobot-v1,2,1.0229331257840137,0.6571855545043945,96w@4080
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,Acrobot-v1,2,0.8555663558855177,0.6569535732269287,96w@4080
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,Acrobot-v1,2,0.605598610829652,0.7261030673980713,96w@4080
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,Acrobot-v1,2,0.8262627348339215,2.158539056777954,96w@4080
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,Acrobot-v1,2,0.8658650786808106,2.1633543968200684,96w@4080
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,Acrobot-v1,2,0.6696659891751265,2.1641623973846436,96w@4080
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,Acrobot-v1,2,0.5611398675172069,2.16406512260437,96w@4080
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,Acrobot-v1,2,0.5919074407449504,2.1640708446502686,96w@4080
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,Acrobot-v1,2,0.5640200691592592,2.1619315147399902,96w@4080
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,Acrobot-v1,2,0.5932319549074099,2.1628329753875732,96w@4080
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,Acrobot-v1,2,1.1745345271339738,2.1713643074035645,96w@4080
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,Acrobot-v1,2,0.758726047433201,2.1635935306549072,96w@4080
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,Acrobot-v1,2,0.6291456693909674,2.161996841430664,96w@4080
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,Acrobot-v1,2,0.5747455254851206,2.1650707721710205,96w@4080
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,Acrobot-v1,2,0.5915913832085823,2.162137508392334,96w@4080
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,Acrobot-v1,2,0.5626539795971119,2.161910057067871,96w@4080
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,Acrobot-v1,2,0.5852605251070214,2.5003602504730225,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,Acrobot-v1,2,0.8262652833379595,2.154197931289673,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,Acrobot-v1,2,1.068105963881476,2.2138538360595703,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=4,diff,4,-1,Acrobot-v1,2,0.9967062353071356,2.1657474040985107,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=6,diff,6,-1,Acrobot-v1,2,0.8524211710772542,2.1580426692962646,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=8,diff,8,-1,Acrobot-v1,2,0.7001644795290779,2.162802219390869,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=12,diff,12,-1,Acrobot-v1,2,0.5764549969350522,2.1653730869293213,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=16,diff,16,-1,Acrobot-v1,2,0.572046033438704,2.1637954711914062,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=1,level,1,-1,Acrobot-v1,2,2.205279629752687,2.1647748947143555,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=2,level,2,-1,Acrobot-v1,2,1.6838048600423647,2.1646347045898438,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=4,level,4,-1,Acrobot-v1,2,1.2380435768374591,2.163706064224243,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=6,level,6,-1,Acrobot-v1,2,1.0460352566388855,2.166666030883789,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=8,level,8,-1,Acrobot-v1,2,0.811778091106055,2.1671993732452393,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=12,level,12,-1,Acrobot-v1,2,0.6380079481901203,2.165823221206665,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn level r=16,level,16,-1,Acrobot-v1,2,0.5701437674584063,2.519941568374634,96w@4080
Chronos-2 S (level),Chronos-2 S (level) level r=1,level,1,-1,Acrobot-v1,2,1.4296638154749077,0.6670136451721191,96w@4080
Moirai,Moirai diff r=1,diff,1,-1,Acrobot-v1,2,,0.008806228637695312,96w@4080
Moirai,Moirai diff r=2,diff,2,-1,Acrobot-v1,2,,0.006963014602661133,96w@4080
