env,condition,model,r,action,response,slope_pct,evalset
Acrobot-v1,both,Chronos-2 S,2,0.0,-0.20514024794101715,64.19207394980836,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 S,2,1.0,0.00614858977496624,64.19207394980836,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 S,2,2.0,0.19899165630340576,64.19207394980836,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 L,2,0.0,-0.20777107775211334,66.04067638085701,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 L,2,1.0,-0.0002278774045407772,66.04067638085701,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 L,2,2.0,0.20799897611141205,66.04067638085701,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 L-syn,2,0.0,-0.22186851501464844,71.01057130357643,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 L-syn,2,1.0,-0.003321874188259244,71.01057130357643,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 L-syn,2,2.0,0.22519032657146454,71.01057130357643,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 S (level),2,0.0,-0.026998192071914673,8.474942838219953,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 S (level),2,1.0,0.0006409806082956493,8.474942838219953,96of96w@64/50x200
Acrobot-v1,both,Chronos-2 S (level),2,2.0,0.02635723352432251,8.474942838219953,96of96w@64/50x200
Acrobot-v1,both,Moirai,2,0.0,-0.0018681060755625367,2.485971604366495,96of96w@64/50x200
Acrobot-v1,both,Moirai,2,1.0,-0.011914634145796299,2.485971604366495,96of96w@64/50x200
Acrobot-v1,both,Moirai,2,2.0,0.013782740570604801,2.485971604366495,96of96w@64/50x200
