environment,model,N,seed,real_reward,real_reward_std,real_length,real_length_std,model_reward,model_reward_std,model_length,model_diverged
CartPole-v1,MLP,64,0,39.85,7.065939427988327,39.85,7.065939427988327,324.8203931450844,172.71140309298002,361.6666666666667,0.0
CartPole-v1,MLP,64,1,11.0,3.5637059362410923,11.0,3.5637059362410923,222.74568420648575,125.7028660621318,229.0,0.0
CartPole-v1,MLP,64,2,38.05,4.341370751272,38.05,4.341370751272,228.76706943909326,109.00680212631534,296.3333333333333,0.0
CartPole-v1,VARX,64,0,500.0,0.0,500.0,0.0,438.6430746714274,21.684115584648577,500.0,0.0
CartPole-v1,VARX,64,1,500.0,0.0,500.0,0.0,476.05877951780957,2.7734108971795433,500.0,0.0
CartPole-v1,VARX,64,2,500.0,0.0,500.0,0.0,464.5143128434817,24.293778729381316,500.0,0.0
CartPole-v1,Chronos-2 S (level),64,0,12.0,4.183300132670378,12.0,4.183300132670378,21.70995392402013,13.42462787993675,28.0,0.0
CartPole-v1,Chronos-2 S (level),64,1,9.2,0.6782329983125268,9.2,0.6782329983125268,-8.576477269331614,34.43361521000305,31.0,0.0
CartPole-v1,Chronos-2 S (level),64,2,28.25,16.99963234896567,28.25,16.99963234896567,17.160869032144547,9.3284866774976,21.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",64,0,8.95,0.49749371855331004,8.95,0.49749371855331004,180.71933595339456,134.9336134120392,226.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",64,1,9.3,0.6403124237432849,9.3,0.6403124237432849,141.25887467463812,157.90317329049572,163.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",64,2,9.45,0.6689544080129824,9.45,0.6689544080129824,130.11781535545984,84.77624075092476,195.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=1)",64,0,9.25,0.8874119674649424,9.25,0.8874119674649424,126.55414415399234,76.61371472065484,156.33333333333334,0.3333333333333333
CartPole-v1,"Chronos-2 S (diff, r=1)",64,1,9.45,0.6689544080129824,9.45,0.6689544080129824,110.37934350967407,40.23094141674424,170.66666666666666,0.0
CartPole-v1,"Chronos-2 S (diff, r=1)",64,2,8.95,0.49749371855331004,8.95,0.49749371855331004,100.40265796581905,77.48455023464896,113.66666666666667,0.0
CartPole-v1,MLP,256,0,80.95,16.63272376972575,80.95,16.63272376972575,346.3165788451831,163.18841493759487,375.6666666666667,0.0
CartPole-v1,MLP,256,1,74.65,23.667012908265377,74.65,23.667012908265377,342.1152394413948,166.79302919997298,372.0,0.0
CartPole-v1,MLP,256,2,69.05,24.96091945421883,69.05,24.96091945421883,455.69546959797543,0.2887782885623212,500.0,0.0
CartPole-v1,VARX,256,0,500.0,0.0,500.0,0.0,478.5127472082774,5.64375393037569,500.0,0.0
CartPole-v1,VARX,256,1,500.0,0.0,500.0,0.0,472.37302762269974,8.62129681447565,500.0,0.0
CartPole-v1,VARX,256,2,500.0,0.0,500.0,0.0,421.3362929224968,5.842244850108495,500.0,0.0
CartPole-v1,Chronos-2 S (level),256,0,195.7,10.954907576059233,195.7,10.954907576059233,14.578331808249155,1.716372741842123,15.333333333333334,0.0
CartPole-v1,Chronos-2 S (level),256,1,328.4,11.168706281391769,328.4,11.168706281391769,34.67026578386625,36.32550972049821,47.0,0.0
CartPole-v1,Chronos-2 S (level),256,2,286.5,213.6865695358508,286.5,213.6865695358508,23.545367399851482,10.904861228978394,25.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",256,0,8.85,0.3570714214271425,8.85,0.3570714214271425,150.15437972545624,62.59178035938548,204.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",256,1,9.45,0.6689544080129824,9.45,0.6689544080129824,84.77380881706874,16.480612416998603,91.66666666666667,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",256,2,9.45,0.6689544080129824,9.45,0.6689544080129824,136.94225241740546,57.57737391792863,158.66666666666666,0.0
CartPole-v1,"Chronos-2 S (diff, r=1)",256,0,9.45,0.6689544080129824,9.45,0.6689544080129824,44.0655907591184,4.0764661925064285,60.333333333333336,0.0
CartPole-v1,"Chronos-2 S (diff, r=1)",256,1,9.1,0.6244997998398398,9.1,0.6244997998398398,43.78630886475245,4.285497307066309,62.333333333333336,0.0
CartPole-v1,"Chronos-2 S (diff, r=1)",256,2,9.45,0.6689544080129824,9.45,0.6689544080129824,234.58599070707956,29.876224726133405,325.3333333333333,0.0
CartPole-v1,MLP,1024,0,112.8,11.356055653262711,112.8,11.356055653262711,420.21435087919235,0.40029997508277265,500.0,0.0
CartPole-v1,MLP,1024,1,134.55,15.866552870740387,134.55,15.866552870740387,427.0487036506335,2.0361234783188067,500.0,0.0
CartPole-v1,MLP,1024,2,164.55,8.540930862616792,164.55,8.540930862616792,426.5419301390648,1.4084372640444411,500.0,0.0
CartPole-v1,VARX,1024,0,500.0,0.0,500.0,0.0,459.24948412179947,18.915716832256134,500.0,0.0
CartPole-v1,VARX,1024,1,500.0,0.0,500.0,0.0,410.7906292080879,6.718512113558662,500.0,0.0
CartPole-v1,VARX,1024,2,500.0,0.0,500.0,0.0,461.4169323047002,21.91323178694637,500.0,0.0
CartPole-v1,Chronos-2 S (level),1024,0,100.0,97.26561571285096,100.0,97.26561571285096,48.602544923623405,42.71763176821798,55.666666666666664,0.0
CartPole-v1,Chronos-2 S (level),1024,1,63.35,21.427260674197253,63.35,21.427260674197253,98.87704970439275,110.78737140402582,112.33333333333333,0.0
CartPole-v1,Chronos-2 S (level),1024,2,9.0,0.5477225575051661,9.0,0.5477225575051661,11.612790366013845,2.90643422059397,13.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",1024,0,9.7,0.6403124237432849,9.7,0.6403124237432849,130.59617964426675,7.2043558974695685,202.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",1024,1,9.3,0.6403124237432849,9.3,0.6403124237432849,76.58020399014156,11.083230248913187,92.33333333333333,0.0
CartPole-v1,"Chronos-2 S (diff, r=6)",1024,2,8.85,0.3570714214271425,8.85,0.3570714214271425,90.4960152109464,6.787410653835317,108.66666666666667,0.0
CartPole-v1,"Chronos-2 S (diff, r=1)",1024,0,495.5,19.16115862885123,495.5,19.16115862885123,96.86389871438344,21.193584030863622,110.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=1)",1024,1,71.2,12.777323663428112,71.2,12.777323663428112,284.4335173070431,46.45177870603433,412.0,0.0
CartPole-v1,"Chronos-2 S (diff, r=1)",1024,2,178.15,22.35234886986153,178.15,22.35234886986153,97.61703985929489,46.49220527913814,122.33333333333333,0.0
MountainCar-v0,MLP,64,0,-150.05,19.098363804263442,150.05,19.098363804263442,-196.52588509519896,0.4539417556009255,200.0,0.0
MountainCar-v0,MLP,64,1,-134.45,18.96701083460438,134.45,18.96701083460438,-197.81775413950285,1.0861729974426555,200.0,0.0
MountainCar-v0,MLP,64,2,-133.55,26.652345112578743,133.55,26.652345112578743,-197.5349982480208,1.195476698126073,200.0,0.0
MountainCar-v0,VARX,64,0,-140.7,22.345245579317314,140.7,22.345245579317314,-111.75426193078358,9.04977414758124,118.33333333333333,1.0
MountainCar-v0,VARX,64,1,-117.6,15.515798400340215,117.6,15.515798400340215,-102.08759504556656,8.588365403001056,108.66666666666667,1.0
MountainCar-v0,VARX,64,2,-114.65,1.5256146302392357,114.65,1.5256146302392357,-104.08759518961112,8.796342339101313,110.66666666666667,1.0
MountainCar-v0,Chronos-2 S (level),64,0,-173.15,15.5475882374084,173.15,15.5475882374084,-76.61999433736007,10.376857371575168,78.0,0.3333333333333333
MountainCar-v0,Chronos-2 S (level),64,1,-200.0,0.0,200.0,0.0,-105.18188573916753,75.56398808826651,109.66666666666667,0.0
MountainCar-v0,Chronos-2 S (level),64,2,-200.0,0.0,200.0,0.0,-19.666667739550274,8.684779038503464,22.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=6)",64,0,-200.0,0.0,200.0,0.0,-190.70508097608885,8.09364681301849,195.33333333333334,0.0
MountainCar-v0,"Chronos-2 S (diff, r=6)",64,1,-200.0,0.0,200.0,0.0,-196.89361137151718,2.1174454807369205,200.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=6)",64,2,-200.0,0.0,200.0,0.0,-193.65112988154092,0.31193181341726206,200.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=1)",64,0,-200.0,0.0,200.0,0.0,-194.21972508231798,1.3516430238036035,200.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=1)",64,1,-200.0,0.0,200.0,0.0,-193.65992320577303,0.4725181912439473,200.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=1)",64,2,-184.35,30.00379142708468,184.35,30.00379142708468,-186.1732417245706,10.559106296557676,192.66666666666666,0.0
MountainCar-v0,MLP,256,0,-111.95,9.415280133909985,111.95,9.415280133909985,-198.0730506082376,1.4289184817621894,200.0,0.0
MountainCar-v0,MLP,256,1,-151.55,11.40822072016491,151.55,11.40822072016491,-196.9721543689569,1.562128272704667,200.0,0.0
MountainCar-v0,MLP,256,2,-118.4,2.690724809414742,118.4,2.690724809414742,-198.43478945891061,1.6209174176745582,200.0,0.0
MountainCar-v0,VARX,256,0,-163.15,36.95033829344462,163.15,36.95033829344462,-193.6889125307401,0.45292676632182416,200.0,0.0
MountainCar-v0,VARX,256,1,-116.45,2.108909670896314,116.45,2.108909670896314,-193.68891188005605,0.45292704016889807,200.0,0.0
MountainCar-v0,VARX,256,2,-149.55,37.109938022044716,149.55,37.109938022044716,-193.68891236186028,0.45292689024330207,200.0,0.0
MountainCar-v0,Chronos-2 S (level),256,0,-142.1,19.457389341841314,142.1,19.457389341841314,-117.28307793289423,66.6454611335894,117.33333333333333,0.0
MountainCar-v0,Chronos-2 S (level),256,1,-200.0,0.0,200.0,0.0,-60.41020211329063,49.13640236914064,63.666666666666664,0.0
MountainCar-v0,Chronos-2 S (level),256,2,-200.0,0.0,200.0,0.0,-85.0351091971,82.13425281253721,87.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=6)",256,0,-200.0,0.0,200.0,0.0,-197.29036289453506,2.6870585465224464,200.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=6)",256,1,-196.6,4.259107887809371,196.6,4.259107887809371,-197.57056085268655,1.0140877445859655,200.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=6)",256,2,-198.6,4.2,198.6,4.2,-197.39951872825623,0.9933103293719076,200.0,0.0
MountainCar-v0,"Chronos-2 S (diff, r=1)",256,0,-200.0,0.0,200.0,0.0,-113.58384652932484,59.09105363939895,117.0,0.0
