arm,seed,timestep,episode_return
baseline,2,576,-1083.8524
baseline,2,1127,-931.27435
baseline,2,1702,-893.91095
baseline,2,2253,-833.8355
baseline,2,2828,-1047.3584
baseline,2,3403,-1119.6174
baseline,2,3906,-830.1354
baseline,2,4481,-827.1455
baseline,2,5032,-694.79224
baseline,2,5607,-819.05927
baseline,2,6158,-874.135
baseline,2,6732,-1162.781
baseline,2,7308,-1118.203
baseline,2,7859,-941.70966
baseline,2,8434,-886.8945
baseline,2,8985,-832.69324
baseline,2,9560,-1058.1755
baseline,2,10135,-1146.7935
baseline,2,10638,-825.0025
baseline,2,11213,-840.5726
baseline,2,11764,-680.3446
baseline,2,12339,-851.0904
baseline,2,12890,-902.71375
baseline,2,13464,-1145.7869
baseline,2,14040,-1086.2278
baseline,2,14591,-895.3733
baseline,2,15166,-833.93665
baseline,2,15717,-786.1872
baseline,2,16292,-999.0658
baseline,2,16867,-1044.8759
baseline,2,17370,-741.1418
baseline,2,17945,-750.7435
baseline,2,18496,-605.6883
baseline,2,19071,-718.1845
baseline,2,19622,-816.42786
baseline,2,20196,-1057.0928
baseline,2,20772,-1000.9421
baseline,2,21323,-807.05304
baseline,2,21898,-716.38745
baseline,2,22449,-709.7643
baseline,2,23024,-902.9277
baseline,2,23599,-1009.5087
baseline,2,24102,-699.85516
baseline,2,24677,-688.9228
baseline,2,25228,-522.7531
baseline,2,25803,-672.0955
baseline,2,26354,-802.81067
baseline,2,26928,-1030.5743
baseline,2,27504,-977.0971
baseline,2,28055,-784.167
baseline,2,28630,-684.023
baseline,2,29181,-686.6094
baseline,2,29756,-874.3447
baseline,2,30331,-1001.8687
baseline,2,30834,-686.7273
baseline,2,31409,-665.8534
baseline,2,31960,-502.77066
baseline,2,32535,-687.83514
baseline,2,33086,-787.69135
baseline,2,33660,-1067.5107
baseline,2,34236,-1019.1932
baseline,2,34787,-801.3276
baseline,2,35362,-715.742
baseline,2,35913,-690.885
baseline,2,36488,-890.9255
baseline,2,37063,-959.4202
baseline,2,37566,-662.81775
baseline,2,38141,-718.20074
baseline,2,38692,-531.93933
baseline,2,39267,-680.9468
baseline,2,39818,-826.2614
baseline,2,40392,-1070.1581
baseline,2,40968,-984.6062
baseline,2,41519,-786.2148
baseline,2,42094,-713.3062
baseline,2,42645,-654.7816
baseline,2,43220,-890.58716
baseline,2,43795,-981.7415
baseline,2,44298,-691.8012
baseline,2,44873,-724.31915
baseline,2,45424,-510.25314
baseline,2,45999,-658.3431
baseline,2,46550,-761.43945
baseline,2,47124,-994.4674
baseline,2,47700,-935.2967
baseline,2,48251,-739.94586
baseline,2,48826,-658.58496
baseline,2,49377,-592.71906
baseline,2,49952,-866.1632
baseline,2,50527,-975.6751
baseline,2,51030,-649.20374
baseline,2,51605,-617.1485
baseline,2,52156,-412.88287
