arm,seed,timestep,episode_return
baseline,0,119476,-350.15433
baseline,0,120051,-513.32227
baseline,0,120602,-602.66614
baseline,0,121176,-872.837
baseline,0,121752,-774.83496
baseline,0,122303,-594.1179
baseline,0,122878,-528.98615
baseline,0,123429,-474.34912
baseline,0,124004,-761.10706
baseline,0,124579,-839.18994
baseline,0,125082,-541.5803
baseline,0,125657,-527.5841
baseline,0,126208,-369.27472
baseline,0,126783,-524.0089
baseline,0,127334,-600.6195
baseline,0,127908,-875.586
baseline,0,128484,-791.6944
baseline,0,129035,-597.1832
baseline,0,129610,-526.31775
baseline,0,130161,-480.96716
baseline,0,130736,-758.7681
