arm,seed,timestep,episode_return
baseline,1,576,-1120.7892
baseline,1,1127,-933.16833
baseline,1,1702,-889.9583
baseline,1,2253,-820.3399
baseline,1,2828,-1066.6387
baseline,1,3403,-1139.2277
baseline,1,3906,-872.3164
baseline,1,4481,-835.8687
baseline,1,5032,-642.8601
baseline,1,5607,-799.8638
baseline,1,6158,-899.956
baseline,1,6732,-1184.7393
baseline,1,7308,-1098.0281
baseline,1,7859,-931.40424
baseline,1,8434,-883.8302
baseline,1,8985,-844.5101
baseline,1,9560,-1052.037
baseline,1,10135,-1181.3761
baseline,1,10638,-830.217
baseline,1,11213,-873.00287
baseline,1,11764,-688.6727
baseline,1,12339,-809.8972
baseline,1,12890,-904.6467
baseline,1,13464,-1163.5104
baseline,1,14040,-1049.765
baseline,1,14591,-895.9064
baseline,1,15166,-824.9985
baseline,1,15717,-772.3158
baseline,1,16292,-999.3256
baseline,1,16867,-1078.4314
baseline,1,17370,-741.2826
baseline,1,17945,-738.66724
baseline,1,18496,-572.03595
baseline,1,19071,-723.8666
baseline,1,19622,-788.3941
baseline,1,20196,-1093.1074
baseline,1,20772,-1009.30646
baseline,1,21323,-826.7074
baseline,1,21898,-768.02466
baseline,1,22449,-666.3839
baseline,1,23024,-934.50586
baseline,1,23599,-974.33344
baseline,1,24102,-687.4185
baseline,1,24677,-699.4163
baseline,1,25228,-493.55258
baseline,1,25803,-634.905
baseline,1,26354,-751.10535
baseline,1,26928,-1047.9031
baseline,1,27504,-1003.34766
baseline,1,28055,-786.57404
baseline,1,28630,-712.96515
baseline,1,29181,-659.1326
baseline,1,29756,-948.5709
baseline,1,30331,-961.26776
baseline,1,30834,-691.36426
baseline,1,31409,-664.6511
baseline,1,31960,-475.1073
baseline,1,32535,-655.7834
baseline,1,33086,-746.74414
baseline,1,33660,-1018.0026
baseline,1,34236,-989.1199
baseline,1,34787,-781.8831
baseline,1,35362,-692.54736
baseline,1,35913,-655.1106
baseline,1,36488,-894.3861
baseline,1,37063,-950.37946
baseline,1,37566,-689.4296
baseline,1,38141,-703.74384
baseline,1,38692,-499.16855
baseline,1,39267,-659.3509
baseline,1,39818,-770.7174
baseline,1,40392,-1033.7974
baseline,1,40968,-1005.87805
baseline,1,41519,-765.42706
baseline,1,42094,-675.04974
baseline,1,42645,-622.0385
baseline,1,43220,-862.5478
baseline,1,43795,-973.2721
baseline,1,44298,-681.2662
baseline,1,44873,-712.42816
baseline,1,45424,-523.8307
baseline,1,45999,-711.35626
baseline,1,46550,-774.0696
baseline,1,47124,-1053.6615
baseline,1,47700,-933.14667
baseline,1,48251,-748.8732
baseline,1,48826,-680.9083
baseline,1,49377,-605.3837
baseline,1,49952,-809.34784
baseline,1,50527,-953.46625
baseline,1,51030,-643.54645
baseline,1,51605,-664.1215
baseline,1,52156,-464.87103
baseline,1,52731,-623.2816
baseline,1,53282,-703.8823
baseline,1,53856,-972.5958
baseline,1,54432,-848.39966
baseline,1,54983,-669.7318
baseline,1,55558,-601.68024
baseline,1,56109,-527.8324
baseline,1,56684,-788.73145
baseline,1,57259,-881.613
baseline,1,57762,-587.7785
baseline,1,58337,-573.3993
baseline,1,58888,-393.25906
baseline,1,59463,-539.59204
baseline,1,60014,-608.05804
baseline,1,60588,-881.25934
baseline,1,61164,-790.0849
baseline,1,61715,-596.0713
baseline,1,62290,-538.0334
baseline,1,62841,-472.3968
baseline,1,63416,-740.32776
baseline,1,63991,-836.3838
baseline,1,64494,-547.49585
baseline,1,65069,-546.097
baseline,1,65620,-353.60297
baseline,1,66195,-519.47003
baseline,1,66746,-588.86554
baseline,1,67320,-872.0235
baseline,1,67896,-799.23254
baseline,1,68447,-599.18286
baseline,1,69022,-546.6213
baseline,1,69573,-499.89676
baseline,1,70148,-759.275
baseline,1,70723,-852.1185
baseline,1,71226,-548.75775
baseline,1,71801,-534.20605
baseline,1,72352,-360.6099
baseline,1,72927,-540.90784
baseline,1,73478,-614.86884
baseline,1,74052,-889.26355
baseline,1,74628,-779.93524
