arm,seed,timestep,episode_return
baseline,1,75179,-614.4921
baseline,1,75754,-558.8485
baseline,1,76305,-508.5505
baseline,1,76880,-762.96405
baseline,1,77455,-852.4087
baseline,1,77958,-553.854
baseline,1,78533,-555.2137
baseline,1,79084,-377.0486
baseline,1,79659,-527.4822
baseline,1,80210,-598.2514
baseline,1,80784,-878.2789
baseline,1,81360,-796.5972
baseline,1,81911,-616.15656
baseline,1,82486,-553.2664
baseline,1,83037,-498.74347
baseline,1,83612,-734.3839
baseline,1,84187,-844.3171
baseline,1,84690,-554.7195
baseline,1,85265,-545.97284
baseline,1,85816,-387.03336
baseline,1,86391,-530.4707
baseline,1,86942,-596.4408
baseline,1,87516,-864.7945
baseline,1,88092,-771.66187
baseline,1,88643,-632.42017
baseline,1,89218,-566.3418
baseline,1,89769,-492.12393
baseline,1,90344,-756.7391
baseline,1,90919,-853.287
baseline,1,91422,-569.55206
baseline,1,91997,-546.6452
baseline,1,92548,-394.76712
baseline,1,93123,-536.94415
baseline,1,93674,-588.9399
baseline,1,94248,-878.01306
baseline,1,94824,-773.7886
baseline,1,95375,-618.9357
baseline,1,95950,-576.09326
baseline,1,96501,-509.1874
baseline,1,97076,-755.22485
baseline,1,97651,-838.79846
baseline,1,98154,-551.7912
baseline,1,98729,-532.5753
baseline,1,99280,-368.47876
baseline,1,99855,-517.8623
baseline,1,100406,-592.3165
baseline,1,100980,-863.39044
baseline,1,101556,-791.7582
baseline,1,102107,-617.08795
baseline,1,102682,-559.967
baseline,1,103233,-497.01932
baseline,1,103808,-763.68353
baseline,1,104383,-845.08325
baseline,1,104886,-549.08276
baseline,1,105461,-546.9373
baseline,1,106012,-370.7407
baseline,1,106587,-514.6711
baseline,1,107138,-616.6351
baseline,1,107712,-884.828
baseline,1,108288,-791.6126
baseline,1,108839,-636.05206
baseline,1,109414,-562.4025
baseline,1,109965,-496.74344
baseline,1,110540,-736.11176
baseline,1,111115,-867.5198
baseline,1,111618,-551.5162
baseline,1,112193,-548.14294
baseline,1,112744,-369.85876
baseline,1,113319,-521.32684
baseline,1,113870,-598.40326
baseline,1,114444,-879.66064
baseline,1,115020,-778.8808
baseline,1,115571,-634.4569
baseline,1,116146,-571.9347
baseline,1,116697,-511.45105
baseline,1,117272,-739.5839
baseline,1,117847,-857.0828
baseline,1,118350,-546.37134
baseline,1,118925,-551.96576
baseline,1,119476,-368.74164
baseline,1,120051,-523.79846
baseline,1,120602,-591.78326
baseline,1,121176,-871.6565
baseline,1,121752,-788.0688
baseline,1,122303,-631.73755
baseline,1,122878,-567.61536
baseline,1,123429,-520.7312
baseline,1,124004,-779.4438
baseline,1,124579,-849.73145
baseline,1,125082,-544.745
baseline,1,125657,-567.4484
baseline,1,126208,-375.57773
baseline,1,126783,-535.8041
baseline,1,127334,-634.84937
baseline,1,127908,-888.61755
baseline,1,128484,-802.32306
baseline,1,129035,-622.74164
baseline,1,129610,-588.537
baseline,1,130161,-521.53125
baseline,1,130736,-764.16846
