arm,seed,timestep,episode_return
demand_oracle,0,99280,-318.44907
demand_oracle,0,99855,-457.5271
demand_oracle,0,100406,-542.8268
demand_oracle,0,100980,-826.83923
demand_oracle,0,101556,-732.4236
demand_oracle,0,102107,-552.11975
demand_oracle,0,102682,-496.51962
demand_oracle,0,103233,-438.26346
demand_oracle,0,103808,-697.42346
demand_oracle,0,104383,-811.38934
demand_oracle,0,104886,-501.1221
demand_oracle,0,105461,-487.91147
demand_oracle,0,106012,-317.15887
demand_oracle,0,106587,-460.23596
demand_oracle,0,107138,-542.8442
demand_oracle,0,107712,-827.6016
demand_oracle,0,108288,-729.6478
demand_oracle,0,108839,-556.4615
demand_oracle,0,109414,-502.10248
demand_oracle,0,109965,-438.37802
demand_oracle,0,110540,-701.4271
demand_oracle,0,111115,-803.419
demand_oracle,0,111618,-498.80893
demand_oracle,0,112193,-487.51245
demand_oracle,0,112744,-314.5143
demand_oracle,0,113319,-457.1345
demand_oracle,0,113870,-540.35114
demand_oracle,0,114444,-828.3856
demand_oracle,0,115020,-728.91016
demand_oracle,0,115571,-555.1862
demand_oracle,0,116146,-499.08194
demand_oracle,0,116697,-439.87607
demand_oracle,0,117272,-698.0136
demand_oracle,0,117847,-806.87524
demand_oracle,0,118350,-495.5849
demand_oracle,0,118925,-489.49753
demand_oracle,0,119476,-317.52658
demand_oracle,0,120051,-462.3487
demand_oracle,0,120602,-538.58124
demand_oracle,0,121176,-831.58453
demand_oracle,0,121752,-726.0308
demand_oracle,0,122303,-553.06085
demand_oracle,0,122878,-494.27136
demand_oracle,0,123429,-452.63538
demand_oracle,0,124004,-695.08435
demand_oracle,0,124579,-805.1567
demand_oracle,0,125082,-500.15073
demand_oracle,0,125657,-489.3798
demand_oracle,0,126208,-313.7474
demand_oracle,0,126783,-463.57208
demand_oracle,0,127334,-540.25287
demand_oracle,0,127908,-828.46533
demand_oracle,0,128484,-733.60876
demand_oracle,0,129035,-552.86066
demand_oracle,0,129610,-497.83884
demand_oracle,0,130161,-439.19458
demand_oracle,0,130736,-696.9443
