model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Moirai,Moirai diff r=2,diff,2,-1,MountainCar-v0,1,,0.001252889633178711,96w@8192
Moirai,Moirai diff r=4,diff,4,-1,MountainCar-v0,1,,0.0011949539184570312,96w@8192
Moirai,Moirai diff r=6,diff,6,-1,MountainCar-v0,1,,0.0012211799621582031,96w@8192
Moirai,Moirai diff r=8,diff,8,-1,MountainCar-v0,1,,0.0011780261993408203,96w@8192
Moirai,Moirai diff r=12,diff,12,-1,MountainCar-v0,1,,0.001178741455078125,96w@8192
Moirai,Moirai diff r=16,diff,16,-1,MountainCar-v0,1,,0.0011355876922607422,96w@8192
Moirai,Moirai level r=1,level,1,-1,MountainCar-v0,1,,0.0010416507720947266,96w@8192
Moirai,Moirai level r=2,level,2,-1,MountainCar-v0,1,,0.0011057853698730469,96w@8192
Moirai,Moirai level r=4,level,4,-1,MountainCar-v0,1,,0.001100301742553711,96w@8192
Moirai,Moirai level r=6,level,6,-1,MountainCar-v0,1,,0.0011093616485595703,96w@8192
Moirai,Moirai level r=8,level,8,-1,MountainCar-v0,1,,0.0011107921600341797,96w@8192
Moirai,Moirai level r=12,level,12,-1,MountainCar-v0,1,,0.0011029243469238281,96w@8192
Moirai,Moirai level r=16,level,16,-1,MountainCar-v0,1,,0.0011026859283447266,96w@8192
MLP,MLP lag 1,-,0,1,MountainCar-v0,1,,0.0028896331787109375,96w@8192
MLP,MLP lag 4,-,0,4,MountainCar-v0,1,,0.002699136734008789,96w@8192
MLP,MLP lag 16,-,0,16,MountainCar-v0,1,,0.002599477767944336,96w@8192
VARX,VARX lag 1,-,0,1,MountainCar-v0,1,,0.0012629032135009766,96w@8192
VARX,VARX lag 4,-,0,4,MountainCar-v0,1,,0.0008399486541748047,96w@8192
VARX,VARX lag 16,-,0,16,MountainCar-v0,1,,0.0008382797241210938,96w@8192
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,MountainCar-v0,2,0.19484977491741562,0.30886101722717285,96w@8192
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,MountainCar-v0,2,0.19614315455120154,0.3105030059814453,96w@8192
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,MountainCar-v0,2,0.19604776880525684,0.3104574680328369,96w@8192
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,MountainCar-v0,2,0.19603190036815707,0.30976104736328125,96w@8192
